Country Name,population_density
Aruba,588.0277778
Afghanistan,56.93776001
Angola,24.71305206
Albania,104.6122628
Andorra,163.8425532
Arab World,37.37236537
United Arab Emirates,135.6091101
Argentina,16.2585101
Armenia,103.6802248
American Samoa,277.325
Antigua and Barbuda,218.8318182
Australia,3.249129487
Austria,107.2069267
Azerbaijan,120.2653199
Burundi,435.178271
Belgium,377.2149273
Benin,101.8539198
Burkina Faso,72.19128289
Bangladesh,1239.579312
Bulgaria,64.70353721
Bahrain,2017.2737
"Bahamas, The",38.52547453
Bosnia and Herzegovina,64.92048828
Belarus,46.7287999
Belize,16.79399386
Bermuda,1184.592572
Bolivia,10.48014585
Brazil,25.06171624
Barbados,666.6069767
Brunei Darussalam,81.39696395
Bhutan,19.77752777
Botswana,3.977424876
Central African Republic,7.490412212
Canada,4.075308214
Central Europe and the Baltics,92.76643663
Switzerland,215.5213784
Channel Islands,861.1060938
Chile,25.18944607
China,148.3488333
Cote d'Ivoire,78.83405346
Cameroon,53.34398891
"Congo, Dem. Rep.",37.08259236
"Congo, Rep.",15.35684627
Colombia,44.74870212
Comoros,447.2444775
Cabo Verde,134.9297767
Costa Rica,97.91306306
Caribbean small states,18.17701618
Cuba,108.9995962
Curacao,
Cayman Islands,267.3916667
Cyprus,128.7083333
Czech Republic,137.6028879
Germany,237.3709698
Djibouti,41.36842105
Dominica,95.5
Denmark,138.0673017
Dominican Republic,219.9785759
Algeria,17.73007507
East Asia & Pacific (excluding high income),130.8104315
Early-demographic dividend,98.13836364
East Asia & Pacific,95.43160553
Europe & Central Asia (excluding high income),18.47737541
Europe & Central Asia,33.4968853
Ecuador,68.78868175
"Egypt, Arab Rep.",98.87346929
Euro area,127.5822777
Eritrea,
Spain,93.52905826
Estonia,30.38610536
Ethiopia,109.224559
European Union,121.0781941
Fragile and conflict affected situations,39.86931254
Finland,18.15685565
Fiji,48.35703339
France,122.3383957
Faroe Islands,34.73996983
"Micronesia, Fed. Sts.",160.9142857
Gabon,8.224764233
United Kingdom,274.8273922
Georgia,65.27520207
Ghana,130.8214292
Gibraltar,3371.8
Guinea,50.52221227
"Gambia, The",225.3065217
Guinea-Bissau,66.65394737
Equatorial Guinea,46.66573975
Greece,83.22473235
Grenada,327.8058824
Greenland,0.136496528
Guatemala,160.9537794
Guam,306.9777778
Guyana,3.957348235
High income,34.43776584
"Hong Kong SAR, China",7096.190476
Honduras,85.68703191
Heavily indebted poor countries (HIPC),44.89578165
Croatia,73.077198
Haiti,403.5985486
Hungary,107.9066055
IBRD only,68.7859052
IDA & IBRD total,68.70845188
IDA total,68.48408972
IDA blend,93.32562183
Indonesia,147.7521901
IDA only,60.26218738
Isle of Man,147.5035088
India,454.9380726
Not classified,
Ireland,70.45298302
"Iran, Islamic Rep.",50.22242012
Iraq,88.53057004
Iceland,3.526922693
Israel,410.5268022
Italy,205.4507479
Jamaica,270.9930748
Jordan,112.1424983
Japan,347.0734584
Kazakhstan,6.769825907
Kenya,90.29941666
Kyrgyz Republic,32.92909281
Cambodia,92.05641287
Kiribati,143.0209877
St. Kitts and Nevis,201.6961538
"Korea, Rep.",529.6521036
Kuwait,232.1722222
Latin America & Caribbean (excluding high income),32.02146146
Lao PDR,30.59578423
Lebanon,669.4941349
Liberia,50.03090739
Libya,3.795632381
St. Lucia,298.1786885
Latin America & Caribbean,32.00573337
Least developed countries: UN classification,56.8413289
Low income,51.67373831
Liechtenstein,236.9375
Sri Lanka,345.558922
Lower middle income,150.0815182
Low & middle income,69.24159606
Lesotho,69.43781291
Late-demographic dividend,51.40872056
Lithuania,44.53135138
Luxembourg,250.0938272
Latvia,30.98330653
"Macao SAR, China",20777.50026
St. Martin (French part),
Morocco,80.72851893
Monaco,
Moldova,123.5198035
Madagascar,45.13985562
Maldives,1718.986667
Middle East & North Africa,39.99770291
Mexico,64.91462641
Marshall Islands,324.5166667
Middle income,72.29486998
North Macedonia,82.59151467
Mali,15.63501586
Malta,1511.03125
Myanmar,82.23861548
Middle East & North Africa (excluding high income),44.31116946
Montenegro,46.27100372
Mongolia,2.040608667
Northern Mariana Islands,123.6565217
Mozambique,37.50853531
Mauritania,4.272163578
Mauritius,623.3019704
Malawi,192.4407616
Malaysia,95.96282149
North America,19.97097624
Namibia,2.973745582
New Caledonia,15.53938731
Niger,17.71765059
Nigeria,215.064989
Nicaragua,53.72704836
Netherlands,511.4579104
Norway,14.55491954
Nepal,195.9391071
Nauru,635.2
New Zealand,18.55417569
OECD members,37.80923456
Oman,15.6041454
Other small states,15.13861641
Pakistan,275.2893187
Panama,56.18607748
Peru,24.99160625
Philippines,357.6883053
Palau,38.92826087
Papua New Guinea,19.00436338
Poland,124.0358862
Pre-demographic dividend,51.68744002
Puerto Rico,360.2201804
"Korea, Dem. People’s Rep.",212.1901752
Portugal,112.2394535
Paraguay,17.50835892
West Bank and Gaza,758.9845515
Pacific island small states,38.27674455
Post-demographic dividend,35.26748894
French Polynesia,75.86857923
Qatar,239.5931955
Romania,84.63984701
